step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.44700,0.81481,0.57496,0.55556
2,0.70262,0.80556,0.33342,0.57895
3,1.54861,0.63636,0.50413,0.62963
4,0.54969,0.82759,0.40073,0.70968
5,0.29184,0.83333,0.51729,0.69444
6,0.32405,0.85714,0.32575,0.55556
7,0.16669,0.94118,0.16592,0.57895
8,0.14914,0.97143,0.20647,0.70370
9,0.44610,0.93103,0.12758,0.77419
10,0.34500,0.89744,0.22095,0.72222
11,0.16968,0.96296,0.10993,0.61111
12,0.17368,0.94444,0.06406,0.68421
13,0.16665,0.94444,0.06250,0.77778
14,0.07716,0.94737,0.07536,0.77419
15,0.10573,0.94444,0.06437,0.77778
16,0.02663,1.00000,0.05245,0.66667
17,0.06295,0.96774,0.03205,0.68421
18,0.31590,0.93103,0.03804,0.77778
19,0.02773,1.00000,0.03681,0.80645
20,0.11298,0.97436,0.03564,0.77778
21,0.02017,1.00000,0.01689,0.66667
22,0.00738,1.00000,0.01664,0.68421
23,0.03441,1.00000,0.01916,0.77778
24,0.00627,1.00000,0.00691,0.80645
25,0.01491,1.00000,0.01427,0.77778
26,0.00800,1.00000,0.00517,0.66667
27,0.01152,1.00000,0.00935,0.68421
28,0.00230,1.00000,0.00647,0.77778
29,0.00714,1.00000,0.00142,0.80645
30,0.00786,1.00000,0.00315,0.77778
31,0.00386,1.00000,0.00099,0.66667
32,0.00095,1.00000,0.00451,0.68421
33,0.00451,1.00000,0.00156,0.77778
34,0.00156,1.00000,0.00027,0.80645
35,0.00087,1.00000,0.00072,0.77778
36,0.00460,1.00000,0.00045,0.66667
37,0.00006,1.00000,0.00052,0.68421
38,0.00014,1.00000,0.00010,0.77778
39,0.00006,1.00000,0.00003,0.80645
40,0.00021,1.00000,0.00013,0.77778
41,0.00004,1.00000,0.00104,0.66667
42,0.00002,1.00000,0.00017,0.68421
43,0.00006,1.00000,0.00001,0.77778
44,0.00145,1.00000,0.00001,0.80645
45,0.00001,1.00000,0.00001,0.77778
46,0.82558,0.93103,0.00014,0.66667
47,0.00000,1.00000,0.00015,0.68421
48,0.00001,1.00000,0.00000,0.77778
49,0.00014,1.00000,0.00000,0.80645
50,0.00002,1.00000,0.00000,0.77778
51,0.00038,1.00000,0.00002,0.66667
52,0.81423,0.93103,0.00003,0.68421
53,0.00001,1.00000,0.00000,0.77778
54,0.00000,1.00000,0.00000,0.80645
55,0.00001,1.00000,0.00000,0.77778
56,0.00000,1.00000,0.00000,0.66667
57,0.00000,1.00000,0.00001,0.68421
58,0.00000,1.00000,0.00000,0.77778
59,0.00000,1.00000,0.00000,0.80645
60,0.00000,1.00000,0.00000,0.77778
61,0.00000,1.00000,0.00000,0.66667
62,0.00000,1.00000,0.00000,0.68421
63,0.00000,1.00000,0.00000,0.77778
64,0.00000,1.00000,0.00000,0.80645
65,0.00000,1.00000,0.00000,0.77778
66,0.00000,1.00000,0.00000,0.66667
67,0.00001,1.00000,0.00000,0.68421
68,0.00000,1.00000,0.00000,0.77778
69,0.00000,1.00000,0.00000,0.80645
70,0.00000,1.00000,0.00000,0.77778
71,0.00000,1.00000,0.00000,0.66667
72,0.00000,1.00000,0.00000,0.68421
73,0.00000,1.00000,0.00000,0.77778
74,0.00000,1.00000,0.00000,0.80645
75,0.00000,1.00000,0.00000,0.77778
76,0.00000,1.00000,0.00000,0.66667
77,0.00000,1.00000,0.00000,0.68421
78,0.00000,1.00000,0.00000,0.77778
79,0.00000,1.00000,0.00000,0.80645
80,0.00000,1.00000,0.00000,0.77778
81,0.00000,1.00000,0.00000,0.66667
82,0.00000,1.00000,0.00000,0.68421
83,0.00000,1.00000,0.00000,0.77778
84,0.83124,0.93103,0.00000,0.80645
85,0.00000,1.00000,0.00000,0.77778
